country,month_period,temperature_celsius,temperature_fahrenheit,precip_mm,humidity,wind_kph
Afghanistan,2024-05,20.305882352941175,68.52352941176471,0.10882352941176471,38.05882352941177,11.51764705882353
Afghanistan,2024-06,25.59,78.04333333333334,0.07266666666666667,24.833333333333332,17.11
Afghanistan,2024-07,31.303448275862067,88.36206896551724,0.0003448275862068966,17.93103448275862,20.731034482758623
Afghanistan,2024-08,30.848387096774193,87.53870967741935,0.037096774193548385,20.548387096774192,20.19677419354839
Afghanistan,2024-09,28.216666666666665,82.78333333333333,0.014333333333333335,13.733333333333333,12.223333333333333
Afghanistan,2024-10,21.98709677419355,71.55483870967741,0.10161290322580645,21.70967741935484,6.461290322580646
Afghanistan,2024-11,15.67,60.21,0.002,27.466666666666665,4.6466666666666665
Afghanistan,2024-12,7.174193548387097,44.91612903225807,0.0003225806451612903,22.387096774193548,4.235483870967743
Afghanistan,2025-01,1.3129032258064517,34.37096774193548,0.07451612903225807,58.87096774193548,6.961290322580646
Afghanistan,2025-02,4.789285714285714,40.61785714285714,0.05071428571428571,47.857142857142854,7.139285714285714
Afghanistan,2025-03,11.993548387096775,53.57419354838709,0.06387096774193549,33.03225806451613,6.32258064516129
Afghanistan,2025-04,22.986666666666668,73.37333333333332,0.0013333333333333333,18.4,6.613333333333333
Afghanistan,2025-05,27.26774193548387,81.1,0.14032258064516132,17.483870967741936,10.783870967741937
Afghanistan,2025-06,31.013333333333332,87.80333333333333,0.002333333333333333,13.0,12.126666666666667
Afghanistan,2025-07,32.880645161290325,91.19354838709677,0.0006451612903225806,11.741935483870968,9.67741935483871
Afghanistan,2025-08,30.480645161290322,86.8483870967742,0.0,15.35483870967742,6.870967741935484
Afghanistan,2025-09,26.833333333333332,80.30666666666666,0.0,17.266666666666666,5.503333333333333
Afghanistan,2025-10,20.26451612903226,68.49032258064516,0.0003225806451612903,18.258064516129032,4.380645161290323
Afghanistan,2025-11,13.923333333333334,57.05,0.0,7.9,4.1433333333333335
Afghanistan,2025-12,8.619354838709677,47.50645161290323,0.025806451612903226,33.74193548387097,4.006451612903226
Afghanistan,2026-01,1.8266666666666667,35.27333333333333,0.084,47.06666666666667,4.8566666666666665
Afghanistan,2026-02,6.635714285714286,43.949999999999996,0.02642857142857143,43.5,5.617857142857143
Afghanistan,2026-03,12.357142857142858,54.239285714285714,0.013214285714285715,44.75,4.771428571428571
Albania,2024-05,25.647058823529413,78.16470588235293,0.2952941176470588,57.529411764705884,13.076470588235294
Albania,2024-06,30.84333333333333,87.52666666666667,0.05333333333333334,45.766666666666666,14.346666666666666
Albania,2024-07,34.63793103448276,94.33793103448276,0.1093103448275862,37.0,18.78965517241379
Albania,2024-08,34.980645161290326,94.96451612903226,0.02225806451612903,32.12903225806452,18.125806451612902
Albania,2024-09,27.516666666666666,81.54333333333334,0.3893333333333333,48.266666666666666,9.120000000000001
Albania,2024-10,21.835483870967742,71.30322580645162,0.14161290322580644,56.806451612903224,6.135483870967741
Albania,2024-11,13.783333333333333,56.81333333333334,0.08633333333333333,59.13333333333333,6.133333333333334
Albania,2024-12,11.741935483870968,53.13548387096775,0.3132258064516129,62.58064516129032,6.77741935483871
Albania,2025-01,13.425806451612903,56.17741935483871,0.10580645161290321,58.96774193548387,6.280645161290322
Albania,2025-02,12.428571428571429,54.378571428571426,0.02035714285714286,52.42857142857143,5.175
Albania,2025-03,16.067741935483873,60.91612903225807,0.2403225806451613,51.61290322580645,7.719354838709678
Albania,2025-04,18.403333333333332,65.13333333333334,0.14400000000000002,49.833333333333336,8.13
Albania,2025-05,21.664516129032258,70.99677419354839,0.21225806451612902,50.96774193548387,8.22258064516129
Albania,2025-06,29.323333333333334,84.78666666666666,0.0,38.36666666666667,7.836666666666667
Albania,2025-07,30.361290322580647,86.64838709677419,0.014838709677419354,36.58064516129032,12.077419354838709
Albania,2025-08,28.22258064516129,82.79677419354839,0.00870967741935484,44.32258064516129,8.916129032258064
Albania,2025-09,23.373333333333335,74.07,0.02733333333333333,60.266666666666666,6.223333333333333
Albania,2025-10,15.170967741935485,59.306451612903224,0.08161290322580646,71.3225806451613,5.829032258064516
Albania,2025-11,12.423333333333334,54.36666666666667,0.456,81.26666666666667,6.506666666666666
Albania,2025-12,5.306451612903226,41.564516129032256,0.0009677419354838711,82.45161290322581,5.903225806451613
Albania,2026-01,6.609999999999999,43.90333333333333,0.30366666666666664,76.73333333333333,9.173333333333334
Albania,2026-02,7.903571428571429,46.21785714285714,0.3867857142857143,82.82142857142857,6.714285714285714
Albania,2026-03,8.153846153846153,46.68076923076923,0.003076923076923077,77.76923076923077,5.269230769230769
Algeria,2024-05,26.11764705882353,79.01176470588236,0.0005882352941176471,45.705882352941174,22.61764705882353
Algeria,2024-06,27.89,82.21000000000001,0.0,46.733333333333334,23.71333333333333
Algeria,2024-07,30.29642857142857,86.53571428571429,0.0,53.82142857142857,16.84642857142857
Algeria,2024-08,31.483870967741936,88.67096774193548,0.0,51.74193548387097,17.580645161290324
Algeria,2024-09,28.43,83.17333333333333,0.018333333333333333,50.63333333333333,15.01
Algeria,2024-10,23.76774193548387,74.7741935483871,0.025161290322580646,62.12903225806452,10.425806451612903
Algeria,2024-11,19.44333333333333,66.99666666666667,0.08566666666666665,66.3,9.496666666666666
Algeria,2024-12,14.748387096774193,58.54838709677419,0.06032258064516129,61.58064516129032,10.332258064516129
Algeria,2025-01,15.019354838709678,59.038709677419355,0.10032258064516128,63.03225806451613,13.22258064516129
Algeria,2025-02,15.424999999999999,59.767857142857146,0.05071428571428572,65.78571428571429,7.921428571428572
Algeria,2025-03,17.616129032258065,63.71290322580645,0.04193548387096774,60.96774193548387,15.070967741935483
Algeria,2025-04,19.7,67.46,0.06666666666666667,59.13333333333333,11.743333333333334
Algeria,2025-05,22.274193548387096,72.1032258064516,0.09258064516129033,60.29032258064516,11.958064516129031
Algeria,2025-06,28.503333333333334,83.30666666666666,0.0,55.1,10.463333333333333
Algeria,2025-07,29.34193548387097,84.81935483870969,0.004193548387096774,55.806451612903224,12.261290322580644
Algeria,2025-08,27.712903225806453,81.88387096774194,0.0,55.225806451612904,9.725806451612904
Algeria,2025-09,24.243333333333332,75.64,0.006,69.26666666666667,9.053333333333335
Algeria,2025-10,19.029032258064515,66.26129032258065,0.004838709677419355,73.54838709677419,8.438709677419356
Algeria,2025-11,12.66,54.78666666666666,0.119,76.03333333333333,12.52
Algeria,2025-12,9.606451612903227,49.29032258064516,0.06903225806451613,84.58064516129032,11.387096774193548
Algeria,2026-01,10.163333333333332,50.29666666666667,0.21866666666666665,80.86666666666666,18.183333333333334
Algeria,2026-02,11.200000000000001,52.153571428571425,0.03357142857142857,73.67857142857143,16.564285714285713
Algeria,2026-03,10.703846153846154,51.276923076923076,0.1280769230769231,83.57692307692308,11.61153846153846
Andorra,2024-05,12.423529411764704,54.33529411764706,0.3517647058823529,60.88235294117647,9.876470588235295
Andorra,2024-06,17.459999999999997,63.43,0.18033333333333335,53.2,10.673333333333334
Andorra,2024-07,24.010344827586206,75.22068965517242,0.11,37.44827586206897,13.072413793103449
Andorra,2024-08,23.416129032258063,74.16129032258064,0.13,42.16129032258065,9.180645161290323
Andorra,2024-09,14.58,58.266666666666666,0.311,55.03333333333333,9.94
Andorra,2024-10,11.593548387096773,52.858064516129026,0.0367741935483871,67.0,8.580645161290322
Andorra,2024-11,6.1433333333333335,43.04666666666667,0.08700000000000001,74.63333333333334,6.846666666666667
Andorra,2024-12,2.9645161290322584,37.332258064516125,0.06999999999999999,69.38709677419355,8.319354838709677
Andorra,2025-01,2.035483870967742,35.66451612903226,0.12032258064516128,66.48387096774194,8.025806451612903
Andorra,2025-02,4.128571428571428,39.44285714285714,0.049999999999999996,67.60714285714286,6.710714285714286
Andorra,2025-03,1.1806451612903226,34.10645161290322,0.20741935483870966,82.51612903225806,9.516129032258064
Andorra,2025-04,7.21,44.983333333333334,0.19899999999999998,63.7,8.566666666666666
Andorra,2025-05,11.038709677419355,51.86774193548387,0.13129032258064516,54.87096774193548,7.558064516129032
Andorra,2025-06,21.09333333333333,69.94333333333334,0.046000000000000006,43.03333333333333,8.026666666666667
Andorra,2025-07,19.07741935483871,66.34193548387097,0.08612903225806451,50.41935483870968,7.658064516129032
Andorra,2025-08,20.793548387096774,69.4258064516129,0.06516129032258064,44.96774193548387,6.296774193548386
Andorra,2025-09,13.860000000000001,56.94666666666667,0.036333333333333336,62.833333333333336,7.056666666666667
Andorra,2025-10,9.35483870967742,48.832258064516125,0.026129032258064518,63.806451612903224,5.861290322580645
Andorra,2025-11,-0.36666666666666664,31.34,0.149,79.2,8.773333333333333
Andorra,2025-12,-2.8677419354838714,26.845161290322583,0.11419354838709678,80.87096774193549,6.767741935483871
Andorra,2026-01,-5.51,22.09,0.18033333333333335,86.76666666666667,8.316666666666666
Andorra,2026-02,-3.607142857142857,25.517857142857142,0.17500000000000002,84.07142857142857,9.285714285714286
Andorra,2026-03,-2.8444444444444446,26.86296296296296,0.13333333333333333,82.44444444444444,9.562962962962963
Angola,2024-05,29.08823529411765,84.36470588235295,0.0,69.76470588235294,19.594117647058823
Angola,2024-06,26.55,79.79333333333334,0.0,68.33333333333333,19.243333333333332
Angola,2024-07,24.475862068965515,76.0551724137931,0.0,67.0,15.827586206896552
Angola,2024-08,24.458064516129035,76.03225806451613,0.0,67.83870967741936,14.687096774193549
Angola,2024-09,25.956666666666667,78.72333333333333,0.0006666666666666666,68.03333333333333,12.473333333333333
Angola,2024-10,26.251612903225805,79.25806451612904,0.00870967741935484,73.58064516129032,9.348387096774195
Angola,2024-11,27.296666666666667,81.13666666666667,0.02866666666666667,76.1,7.6033333333333335
Angola,2024-12,27.758064516129032,81.95806451612903,0.18483870967741936,76.96774193548387,9.529032258064515
Angola,2025-01,29.38064516129032,84.88709677419355,0.05548387096774193,67.19354838709677,8.135483870967741
Angola,2025-02,29.264285714285712,84.68214285714285,0.06357142857142857,69.75,8.407142857142857
Angola,2025-03,29.548387096774192,85.18064516129031,0.0064516129032258064,69.41935483870968,6.077419354838709
Angola,2025-04,28.626666666666665,83.52666666666667,0.10300000000000001,73.93333333333334,7.923333333333333
Angola,2025-05,27.861290322580647,82.15483870967742,0.04161290322580645,76.7741935483871,7.583870967741936
Angola,2025-06,25.203333333333333,77.37333333333332,0.0003333333333333333,75.26666666666667,6.116666666666666
Angola,2025-07,22.293548387096774,72.13548387096773,0.0,74.80645161290323,6.880645161290323
Angola,2025-08,21.019354838709678,69.82903225806452,0.0009677419354838711,79.38709677419355,6.038709677419354
Angola,2025-09,22.696666666666665,72.85666666666665,0.003,79.53333333333333,4.873333333333333
Angola,2025-10,24.612903225806452,76.30645161290323,0.019354838709677424,79.70967741935483,7.416129032258064
Angola,2025-11,26.14,79.06333333333333,0.03766666666666666,78.26666666666667,7.093333333333333
Angola,2025-12,25.77741935483871,78.40322580645162,0.004516129032258065,80.41935483870968,8.54516129032258
Angola,2026-01,26.016666666666666,78.83999999999999,0.0016666666666666668,79.66666666666667,8.1
Angola,2026-02,25.735714285714288,78.325,0.028928571428571432,79.85714285714286,10.092857142857143
Angola,2026-03,26.262962962962963,79.28148148148148,0.032962962962962965,83.14814814814815,10.507407407407406
Antigua and Barbuda,2024-05,29.41176470588235,84.94117647058823,0.09764705882352942,72.82352941176471,16.241176470588233
Antigua and Barbuda,2024-06,29.92758620689655,85.86896551724138,0.04206896551724138,72.34482758620689,16.368965517241378
Antigua and Barbuda,2024-07,28.675,83.61785714285715,0.10714285714285714,76.85714285714286,21.657142857142855
Antigua and Barbuda,2024-08,28.774193548387096,83.80645161290323,0.11645161290322582,76.41935483870968,20.03548387096774
Antigua and Barbuda,2024-09,27.709999999999997,81.88333333333334,0.123,81.46666666666667,15.706666666666667
Antigua and Barbuda,2024-10,27.72258064516129,81.90967741935484,0.08580645161290323,77.0,19.73548387096774
Antigua and Barbuda,2024-11,26.389655172413793,79.50689655172413,0.1503448275862069,83.82758620689656,19.282758620689656
Antigua and Barbuda,2024-12,25.606451612903225,78.09677419354838,0.1706451612903226,76.7741935483871,26.02258064516129
Antigua and Barbuda,2025-01,24.436666666666667,75.99666666666667,0.06933333333333333,80.8,27.83
Antigua and Barbuda,2025-02,24.67142857142857,76.40357142857144,0.2175,75.85714285714286,33.371428571428574
Antigua and Barbuda,2025-03,24.506451612903227,76.11290322580645,0.0596774193548387,78.74193548387096,25.55483870967742
Antigua and Barbuda,2025-04,24.946666666666665,76.90666666666667,0.048666666666666664,79.46666666666667,28.60666666666667
Antigua and Barbuda,2025-05,26.129032258064516,79.03225806451613,0.03806451612903226,82.19354838709677,28.225806451612904
Antigua and Barbuda,2025-06,26.8,80.24666666666667,0.04766666666666666,76.76666666666667,31.376666666666665
Antigua and Barbuda,2025-07,26.81935483870968,80.28064516129032,0.1774193548387097,79.48387096774194,29.5258064516129
Antigua and Barbuda,2025-08,27.62258064516129,81.7290322580645,0.0796774193548387,79.29032258064517,24.458064516129035
Antigua and Barbuda,2025-09,27.02,80.63000000000001,0.179,81.53333333333333,21.663333333333334
Antigua and Barbuda,2025-10,26.719354838709677,80.10967741935484,0.342258064516129,83.09677419354838,23.345161290322583
Antigua and Barbuda,2025-11,26.026666666666664,78.85333333333332,0.07600000000000001,80.23333333333333,26.08
Antigua and Barbuda,2025-12,25.038709677419355,77.0741935483871,0.08516129032258064,76.09677419354838,26.016129032258064
Antigua and Barbuda,2026-01,24.456666666666667,76.03,0.15033333333333332,79.6,25.423333333333336
Antigua and Barbuda,2026-02,24.196428571428573,75.54285714285713,0.1157142857142857,79.78571428571429,23.75
Antigua and Barbuda,2026-03,24.44074074074074,75.9925925925926,0.16444444444444445,76.0,30.41111111111111
Argentina,2024-05,11.235294117647058,52.2235294117647,0.0011764705882352942,75.6470588235294,11.258823529411766
Argentina,2024-06,13.55,56.38666666666666,0.045000000000000005,79.43333333333334,12.723333333333333
Argentina,2024-07,6.796428571428572,44.221428571428575,0.0,78.32142857142857,8.425
Argentina,2024-08,9.764516129032257,49.567741935483866,0.20516129032258063,84.83870967741936,12.30967741935484
Argentina,2024-09,12.383333333333333,54.29666666666667,0.014666666666666666,82.06666666666666,11.506666666666666
Argentina,2024-10,14.780645161290321,58.61290322580645,0.025161290322580646,84.38709677419355,10.006451612903225
Argentina,2024-11,17.709999999999997,63.88,0.05333333333333334,83.9,10.686666666666667
Argentina,2024-12,17.838709677419356,64.11935483870968,0.05161290322580645,74.61290322580645,12.019354838709678
Argentina,2025-01,21.716666666666665,71.1,0.003,77.33333333333333,9.993333333333334
Argentina,2025-02,21.567857142857143,70.83214285714286,0.16821428571428573,81.85714285714286,10.032142857142857
Argentina,2025-03,18.551612903225806,65.4,0.26290322580645165,88.58064516129032,8.996774193548386
Argentina,2025-04,13.693333333333333,56.65,0.02033333333333333,87.46666666666667,8.993333333333334
Argentina,2025-05,13.296774193548387,55.938709677419354,0.19709677419354837,89.61290322580645,8.69032258064516
Argentina,2025-06,7.88,46.193333333333335,0.014333333333333335,81.23333333333333,9.646666666666667
Argentina,2025-07,8.98709677419355,48.18709677419355,0.1164516129032258,86.12903225806451,9.01290322580645
Argentina,2025-08,10.277419354838708,50.50967741935484,0.07903225806451612,84.6774193548387,10.509677419354839
Argentina,2025-09,11.093333333333334,51.96666666666667,0.060333333333333336,87.5,9.753333333333334
Argentina,2025-10,14.990322580645161,58.99032258064516,0.3467741935483871,80.41935483870968,10.870967741935484
Argentina,2025-11,15.816666666666666,60.47666666666667,0.2366666666666667,83.86666666666666,9.533333333333333
Argentina,2025-12,20.01290322580645,68.01612903225806,0.004516129032258065,78.51612903225806,11.061290322580644
Argentina,2026-01,20.959999999999997,69.72666666666667,0.007333333333333333,76.0,12.576666666666666
Argentina,2026-02,21.142857142857142,70.06071428571428,0.002142857142857143,74.07142857142857,11.657142857142857
